Arizona,,,,,New York,,,,,Colorado,,,,,California,,,,,New York - Laguardia,,,
T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb
299.9021625,20.31363082,22.15918636,12.367912,,275.399016,6.666115415,74.61441262,92,,281.2553814,13.04543546,37.40633341,40,,283.9369163,1.723479345,47.38490861,96,,279.0367344,8.467985861,67.10309074,33
293.0318715,6.384073933,25.93406443,13.39003123,,272.3560277,0.41885459,81.76782644,85,,275.5728869,3.040297991,44.00828765,43,,282.7086636,0.342391224,48.96722428,96,,275.2371408,0.93625357,74.99307242,34
288.2532664,0.000414082,29.06089093,17.6022668,,272.16,0,82.26051359,85,,274.2252034,0.15477366,45.82561697,43,,282.06,0,49.80089027,96,,274.86,0,75.86254455,32
286.4833333,0,30.3417928,20.48011874,,272.16,0,82.26088025,85,,274.15,0,45.92945574,43,,282.06,0,49.80071671,100,,274.86,0,75.86288856,36
284.2611111,0,32.0545159,26.97317812,,272.16,0,82.26124592,85,,272.15,0,48.47471903,55,,282.06,0,49.80054314,100,,274.26,0,77.08797906,37
283.7055556,0,32.50217055,29.20849383,,272.06,0,82.48546108,85,,272.15,0,48.47483176,60,,282.06,0,49.80036957,100,,274.26,0,77.08831692,39
283.15,0,32.95786031,29.04515647,,272.16,0,82.26197811,85,,275.15,0,44.7208973,37,,282.06,0,49.80019867,96,,273.76,0,78.12856637,41
282.5944444,0,33.42175848,30.14745148,,272.16,0,82.26234486,85,,275.15,0,44.72101212,44,,281.46,0,50.56313909,100,,273.76,0,78.1288975,39
282.0388889,0,33.8940389,27.50087957,,272.16,0,82.26271163,78,,275.15,0,44.72113008,44,,281.46,0,50.56296886,96,,273.16,0,79.4008087,40
280.9277778,0,34.86423399,29.65234083,,272.16,0,82.26306838,78,,276.15,0,43.55259177,41,,281.46,0,50.56279863,96,,273.16,0,79.40113839,43
280.3722222,0,35.36277623,32.16104386,,271.16,0,84.53719569,85,,276.15,0,43.55271371,41,,281.46,0,50.5626306,96,,273.16,0,79.40146264,43
278.7055556,0,36.91359144,36.07173792,,271.16,0,84.53754017,85,,277.15,0,42.42282149,39,,280.96,0,51.20984578,100,,272.56,0,80.69981458,45
278.7055556,0,36.91382892,37.66034333,,270.16,0,86.89206964,92,,278.15,0,41.3300545,39,,280.96,0,51.2096783,100,,272.56,0,80.70013741,41
278.15,0,37.4501776,40.85774885,,271.16,0,84.53822705,78,,277.15,0,42.42306451,42,,280.96,0,51.20951081,100,,272.56,0,80.70045577,41
278.7055556,0,36.91431005,37.66034333,,270.16,0,86.89275115,84,,275.15,0,44.72188097,44,,280.96,0,51.20934237,96,,272.06,0,81.80314695,40
279.2853214,0,36.36552347,37.66034333,,268.5589471,0.70141279,90.7317151,92,,275.1840072,0.066909464,44.67683905,44,,281.1547441,0.342391224,50.92913378,96,,272.6790255,0.244962634,80.40948639,37
284.9802182,6.684409383,31.49001576,36.24080874,,273.5590565,7.734244555,78.23255343,84,,276.4164378,0.591054667,43.20828388,41,,282.011618,1.848912607,49.71982225,96,,273.581382,2.265791948,78.2213915,37
293.8799922,22.65967005,25.42881858,35.04905895,,282.1801992,19.37527184,61.44698048,78,,277.7046868,1.32633038,41.72615521,42,,283.5965624,4.565216314,47.58339161,96,,277.9982524,9.957452841,68.77409671,35
302.596946,34.6181345,20.87782072,31.62784963,,287.9329573,27.73138042,52.71112401,71,,284.6465753,15.08834494,34.26449012,36,,285.5755916,7.235867857,45.12612692,96,,283.8853936,19.80971546,58.36448228,34
307.5931123,41.5553052,18.74112314,24.47881034,,291.5495577,34.08994194,47.95318224,78,,293.7214562,39.43826382,26.66619536,34,,288.3272114,10.13967962,42.02293663,93,,286.550138,25.77230807,54.19921155,31
310.4021564,42.50918392,17.66458816,21.21786067,,292.2155893,35.26093201,47.138656,78,,294.2486699,45.84876139,26.11583243,34,,290.223853,13.81138564,39.94717105,96,,283.873401,21.13455208,58.26802318,33
312.7499481,42.6968245,16.8262536,20.33513675,,282.9560737,18.98122338,60.30534731,78,,290.1752783,29.13317218,29.38104257,34,,292.6406765,16.62505708,37.58764402,83,,280.211053,9.74061573,64.99288335,26
311.2164443,40.07866406,17.36877023,18.94961295,,276.7696713,8.104538987,71.81776488,78,,288.3646523,24.35852104,30.88361575,34,,296.0291282,21.9577923,34.50852599,77,,278.7959592,4.507883777,67.94387736,34
308.6072486,30.05683782,18.34507772,17.66908874,,276.3896396,5.678222765,72.8149758,72,,289.0913932,28.04629247,30.19264627,32,,295.2171609,18.71152195,35.31080215,72,,277.431486,2.41171782,70.6259451,43
303.240529,19.33652208,20.58915521,17.80624016,,274.0344827,1.537480373,78.02163751,72,,286.0779174,15.27840951,33.0733389,34,,289.3452096,6.660426617,41.21214882,75,,277.4559024,0.946655593,70.74354848,47
294.9453694,6.211696956,24.81338062,18.43608272,,273.4375894,0.488046544,79.4161915,72,,280.1842034,2.894751356,39.04391666,33,,284.6855623,0.87583615,46.5644974,83,,277.6235552,0.157775932,70.52198542,46
289.8926601,0.023757754,27.94650491,21.36552608,,272.16,0,82.27260931,92,,277.1980011,0.110552615,42.36506282,38,,283.76,0,47.71248531,83,,277.56,0,70.65695973,41
289.2611111,0,28.37352752,24.07406558,,272.16,0,82.27296665,92,,276.15,0,43.55593525,41,,282.06,0,49.79564695,74,,277.56,0,70.65734173,41
287.5944444,0,29.54089903,27.93368507,,271.16,0,84.54737826,100,,275.15,0,44.72480543,44,,281.46,0,50.55851979,77,,277.56,0,70.65771861,44
284.8166667,0,31.62712194,34.91015476,,272.16,0,82.27368923,92,,277.15,0,42.42605417,42,,280.96,0,51.20568704,74,,277.06,0,71.58856493,52
284.2611111,0,32.06707512,37.74529403,,272.16,0,82.27405669,100,,272.15,0,48.47942291,55,,279.86,0,52.66739805,93,,277.56,0,70.65847619,48
283.7055556,0,32.5148861,40.80947479,,272.16,0,82.27442418,100,,274.15,0,45.93412077,43,,279.86,0,52.66723899,86,,277.56,0,70.65885801,41
281.4833333,0,34.38750505,47.38186803,,272.16,0,82.27479168,100,,274.15,0,45.93423375,51,,279.26,0,53.48697751,93,,277.56,0,70.65923471,38
281.4833333,0,34.38776254,49.36197768,,272.16,0,82.27515921,92,,275.15,0,44.72535197,44,,278.76,0,54.18256424,96,,277.06,0,71.59010082,50
281.4833333,0,34.38800901,47.38186803,,272.16,0,82.27552676,92,,276.15,0,43.55671225,41,,277.56,0,55.89994903,96,,277.56,0,70.65999194,51
279.8166667,0,35.8839108,50.95014747,,272.16,0,82.27589433,100,,279.15,0,40.27642641,36,,277.06,0,56.63592578,96,,277.56,0,70.6603685,53
279.2611111,0,36.40113291,48.72854232,,272.16,0,82.27626193,100,,277.15,0,42.42682659,38,,277.56,0,55.89964957,100,,277.06,0,71.5912494,57
278.7055556,0,36.92791507,50.63721527,,272.16,0,82.27662955,100,,272.15,0,48.48031501,60,,278.16,0,55.03218541,96,,277.56,0,70.66112545,53
279.2611111,0,36.40159926,48.72854232,,272.16,0,82.27699733,100,,277.15,0,42.42704874,38,,278.16,0,55.03202972,96,,277.56,0,70.66150775,55
278.1060101,0,37.50762334,54.71007994,,272.1728199,0.022539419,82.24570363,100,,276.3185375,0.360116,43.33948328,41,,278.8598192,0.205434734,54.02462211,93,,277.6285051,0.157775932,70.51818147,61
283.5673941,1.864357621,32.62961441,52.62970748,,272.7368951,1.01427385,80.86791207,92,,275.9658883,3.572774652,43.52271217,47,,279.4538755,1.428043058,53.10175293,96,,278.0874326,1.126970944,69.57490743,63
296.1046965,15.10691226,24.16298449,45.14741444,,275.0640159,5.105724128,75.48349932,92,,286.734322,16.20550409,32.50611469,39,,281.7846524,3.96106571,49.84105977,74,,280.1102273,2.885045617,65.85671947,58
306.6290714,30.81648431,19.1372152,39.16502484,,275.8745947,6.530851364,73.71596308,92,,297.1277749,35.81386669,24.80599168,32,,282.6025536,5.860044338,48.68344249,80,,280.8802789,4.530423195,64.41232675,61
312.0617465,38.41163943,17.07208828,30.18419914,,277.6100868,9.582123894,70.1050403,92,,307.0149573,46.95449251,19.72846544,28,,284.8440968,7.50714148,45.92451672,96,,281.6968242,5.612315302,62.98801989,62
317.9102631,42.35279971,15.16331868,26.00664367,,277.6541213,9.659543482,70.01685394,92,,308.4803692,47.87019407,19.11301223,24,,287.9476937,10.22991769,42.39985922,93,,281.5775055,6.018024842,63.14003048,62
315.8735018,40.61324809,15.79555269,21.80867221,,279.3252616,12.6885283,66.74657378,85,,305.9109593,42.72746802,20.30102354,24,,288.9925167,11.60760044,41.26442198,80,,282.1479857,5.679933558,62.26888081,62
312.87894,36.48948023,16.78904442,21.06360992,,283.6658431,22.95570381,58.90875529,88,,297.2405717,31.16182145,24.90026946,24,,288.1652367,8.037243044,42.31145548,72,,280.6923806,4.620580871,64.71420617,76
308.8056874,28.82188722,18.27575498,19.65763504,,280.3556792,17.51179779,64.5361185,92,,295.4994973,23.83620586,26.16141326,24,,286.6971452,4.231178491,44.09142824,42,,279.967548,2.997742711,66.08915964,79
302.805286,19.40031133,20.79482967,19.65763504,,274.7855845,6.047054312,75.93337037,92,,292.0116989,13.82212346,28.75744696,26,,285.2999558,2.306995257,45.76049013,41,,278.632124,1.172049782,68.59698656,82
295.7099196,6.336626182,24.38941708,20.34699536,,272.447726,0.638279491,81.55789701,85,,278.3579436,2.679652446,40.94406591,59,,283.4456247,0.502173795,48.0490494,48,,278.8165575,0.135236513,68.38062538,73
291.0103628,0.023757754,27.22234813,24.53376096,,271.16,0,84.55720937,85,,274.21446,0.132663137,45.85056723,79,,283.16,0,48.43069696,90,,278.16,0,69.57039653,76
287.5944444,0,29.55247884,30.34606637,,271.16,0,84.55756476,92,,272.15,0,48.48533295,85,,282.56,0,49.16684335,93,,278.16,0,69.57078504,73
